label,precision,recall,f1,support
admiration,0.7142857142857143,0.8333333333333334,0.7692307692307693,6
amusement,1.0,1.0,1.0,2
anger,0.0,0.0,0.0,5
annoyance,0.6666666666666666,0.2222222222222222,0.3333333333333333,9
approval,1.0,0.6666666666666666,0.8,3
caring,0.5,1.0,0.6666666666666666,1
confusion,0.7777777777777778,1.0,0.875,7
curiosity,0.4444444444444444,1.0,0.6153846153846154,4
desire,1.0,1.0,1.0,1
disappointment,1.0,0.75,0.8571428571428571,4
disapproval,1.0,0.2,0.3333333333333333,5
disgust,0.5,1.0,0.6666666666666666,1
embarrassment,1.0,0.5,0.6666666666666666,2
excitement,0.5,0.5,0.5,2
fear,0.3333333333333333,1.0,0.5,1
gratitude,1.0,0.7142857142857143,0.8333333333333334,7
grief,0.0,0.0,0.0,0
joy,0.3333333333333333,1.0,0.5,1
love,0.5,1.0,0.6666666666666666,1
nervousness,1.0,0.6666666666666666,0.8,3
optimism,1.0,0.5,0.6666666666666666,2
pride,1.0,0.5,0.6666666666666666,2
realization,0.5,1.0,0.6666666666666666,1
relief,1.0,0.25,0.4,4
remorse,1.0,1.0,1.0,1
sadness,1.0,1.0,1.0,1
surprise,1.0,0.5,0.6666666666666666,4
neutral,0.6666666666666666,0.6666666666666666,0.6666666666666666,3
