label_a,label_b,count
admiration,gratitude,279
anger,annoyance,269
admiration,approval,246
confusion,curiosity,212
approval,neutral,202
admiration,love,192
annoyance,disapproval,178
disappointment,sadness,133
annoyance,neutral,132
admiration,joy,126
curiosity,neutral,118
annoyance,disappointment,110
disapproval,neutral,109
admiration,optimism,106
approval,optimism,100
confusion,neutral,98
admiration,neutral,94
amusement,joy,90
caring,optimism,90
excitement,joy,86
admiration,amusement,84
amusement,gratitude,82
approval,realization,80
annoyance,disgust,80
neutral,realization,76
admiration,excitement,75
gratitude,joy,74
anger,neutral,73
gratitude,optimism,69
disappointment,neutral,65
approval,caring,65
admiration,curiosity,65
joy,love,65
desire,optimism,64
approval,gratitude,62
caring,neutral,61
remorse,sadness,60
approval,love,60
neutral,sadness,58
amusement,approval,57
amusement,neutral,57
curiosity,surprise,57
amusement,love,55
disappointment,disapproval,54
gratitude,love,53
admiration,surprise,53
anger,disgust,53
neutral,optimism,48
amusement,curiosity,48
joy,neutral,45
annoyance,curiosity,45
love,optimism,45
anger,disapproval,43
approval,joy,41
admiration,realization,41
caring,love,41
excitement,surprise,40
amusement,annoyance,40
love,neutral,38
annoyance,approval,37
approval,curiosity,36
disapproval,disgust,36
amusement,realization,34
fear,nervousness,34
gratitude,realization,34
admiration,desire,33
curiosity,realization,33
neutral,surprise,33
admiration,caring,31
curiosity,gratitude,31
disapproval,realization,31
curiosity,disapproval,31
amusement,optimism,31
optimism,realization,31
anger,disappointment,30
disappointment,realization,30
joy,optimism,29
caring,sadness,29
disgust,neutral,29
curiosity,optimism,28
excitement,gratitude,27
excitement,love,27
desire,neutral,27
desire,love,27
annoyance,realization,26
annoyance,sadness,26
realization,surprise,26
curiosity,love,25
admiration,annoyance,25
approval,excitement,25
annoyance,confusion,24
admiration,confusion,24
amusement,confusion,24
annoyance,optimism,24
admiration,disappointment,24
confusion,gratitude,24
caring,gratitude,24
curiosity,sadness,23
confusion,surprise,23
disapproval,sadness,23
caring,joy,23
admiration,pride,23
approval,disappointment,23
grief,sadness,22
disapproval,optimism,22
gratitude,surprise,22
confusion,disapproval,22
curiosity,excitement,21
curiosity,disappointment,21
optimism,sadness,21
excitement,neutral,21
confusion,realization,20
amusement,disapproval,20
disappointment,disgust,20
approval,confusion,20
annoyance,gratitude,20
fear,neutral,20
excitement,optimism,20
approval,disapproval,19
approval,desire,18
amusement,sadness,18
realization,sadness,18
love,realization,18
anger,sadness,17
gratitude,sadness,17
disappointment,optimism,17
optimism,remorse,17
